address,ALD,NSP,POLICE,TRACT,WARD,ZIP,Arson,Assault,Burglary,CriminalDamage,Homicide,Robbery,SexOffense,Theft,VehicleTheft
1218 W HIGHLAND AV,4.0,12.0,3.0,14600.0,188.0,53233.0,0,0,0,1,0,0,0,0,0
2006 N 37TH ST,15.0,11.0,3.0,9000.0,151.0,53208.0,0,1,0,0,0,0,0,0,0
3059 S SUPERIOR ST,14.0,,6.0,18200.0,239.0,53207.0,0,0,0,0,0,0,0,0,0
924 E KNAPP ST,4.0,,1.0,11100.0,180.0,53202.0,0,0,0,1,0,0,0,0,0
3413 S 9TH PL,14.0,,6.0,20300.0,280.0,53215.0,0,0,0,1,0,0,0,0,0
605 W LAPHAM BL,12.0,16.0,2.0,16500.0,232.0,53204.0,0,0,0,0,0,0,0,0,1
2230 W LINCOLN AV,8.0,17.0,2.0,17400.0,219.0,53215.0,0,1,0,0,0,0,0,0,0
2230 W LINCOLN AV,8.0,17.0,2.0,17400.0,219.0,53215.0,0,1,0,0,0,0,0,0,0
1575 W WASHINGTON ST,12.0,16.0,2.0,15700.0,228.0,53204.0,0,0,0,0,0,0,0,0,1
1566 W SCOTT ST,12.0,16.0,2.0,15700.0,228.0,53204.0,0,1,0,0,0,0,0,0,0
2829 W WISCONSIN AV,10.0,14.0,3.0,14900.0,193.0,53208.0,0,0,0,1,0,0,0,0,0
9815 W HAMPTON AV,5.0,,4.0,501.0,36.0,53225.0,0,0,0,1,0,0,0,0,0
9666 W BRADLEY RD,9.0,,4.0,202.0,6.0,53224.0,0,0,0,0,1,0,0,0,0
6401 S 13TH ST,13.0,,6.0,21700.0,314.0,53221.0,0,0,0,0,0,0,0,0,1
1612 E LAFAYETTE PL,3.0,,1.0,10800.0,175.0,53202.0,0,0,0,0,0,0,0,0,0
1303 N 10TH ST,4.0,13.0,1.0,14100.0,184.0,53205.0,0,0,0,1,0,0,0,0,0
2911 S 60TH ST,11.0,,6.0,19200.0,255.0,53219.0,0,1,0,0,0,0,0,0,0
